"word","link","category","yomikata","description","ready"
"ISM製造業景況感指数","https://www.nomura.co.jp/terms/japan/a/ism_seizou.html","経済","あいえすえむせいぞうぎょうけいきょうかんしすう","全米供給管理協会（ISM＝Institute for Supply Management）が算出する製造業の景況感を示す指数のひとつ。旧NAPM指数。毎月発表される米国の主要指標の中で最も早い毎月第1営業日に発表され、「ISM非製造業景況感指数（毎月第3営業日発表）」とともに、米国の景気先行指標として注目されている。製造業（300社以上）の購買・供給管理責任者を対象に、各企業の受注や生産、価格など10項目についてアンケート調査を実施。「良くなっている」、「同じ」、「悪くなっている」の三者択一の回答結果を集計し、季節調整を加えた新規受注・生産・雇用・入荷遅延・在庫の5つの指数をもとに、ISM製造業景況感の総合指数を算出する。日本の日銀短観と類似する統計で、日銀短観がゼロを分岐点とし、＋（プラス）、－（マイナス）で表すのに対し、ISM製造業景況感指数は0から100までのパーセンテージで表す。50％を景気の拡大・後退の分岐点とし、50％を上回ると景気拡大、50％を下回ると景気後退を示す。","0"
"アイザーウェイ","https://www.nomura.co.jp/terms/japan/a/A02513.html","金利・為替","あいざーうぇい","アイザーウェイ（Either Way）とは、外国為替相場において、売値（OfferもしくはAsk）と買値（Bid）が同じレートとなる状態のことをいう。チョイス（Choice）といった呼び方をする場合もある。","0"
"相対売買","https://www.nomura.co.jp/terms/japan/a/aitaibaibai.html","取引（売買）","あいたいばいばい","取引所外取引のひとつで、売買をする当事者間で数量・価格・決済方法を決めて行う取引方法。証券会社が投資家から売買注文を受けた場合には、証券会社自らが直接、売買の相手方となって取引を成立させることなどをいう。委託売買に対する言葉。大口の株式取引、外貨預金における為替取引、外国為替証拠金取引（FX）などで利用されている。","0"
"アイディアソン","https://www.nomura.co.jp/terms/japan/a/A02965.html","経済","あいであそん","アイデア(Idea)とマラソン(Marathon)を組み合わせた造語。様々な分野や立場の人が集まり、チーム対抗で特定のテーマについて議論し新しいアイデアを創り出すこと、または、そういったことを行うイベントのこと。物を作るハッカソンと違い、アイデアを生むことに重きを置いている。","0"
"アイランドリバーサル","https://www.nomura.co.jp/terms/japan/a/A02085.html","分析・指標","あいらんどりばーさる","株価のテクニカルチャート（ケイ線、ローソク足）において、ギャップ（窓）を空けるように株価が上（または下）にジャンプした後に再度、下（または上）側にギャップを空けジャンプして戻る値動きをすることでできる離れ小島のように見える部分のこと。一般に、下落トレンドからの底入れや上昇トレンドでの天井にあたる相場の転換点として捉えられることが多い。","0"
"アイ・トラックス・ジャパン","https://www.nomura.co.jp/terms/japan/a/A02715.html","分析・指標","あい・とらっくす・じゃぱん","英国の金融情報ベンダーであるマークイット社が算出する、日本国内企業50社のCDS（クレジット・デフォルト・スワップ）取引を指標化したもの。iTraxx Japanと表記される。格付け会社により投資適格と判断された流動性の高い銘柄で構成されており、CDS市場における代表的な指数のうちのひとつとなっている。","0"
"アウトパフォーム","https://www.nomura.co.jp/terms/japan/a/outperformance.html","分析・指標","あうとぱふぉーむ","日経平均やTOPIXなどのベンチマークに対して、ある指数もしくは銘柄の一定期間の収益率が上回っていること。アウトパフォーマンスとも呼ばれる。対義語は「アンダーパフォーム（アンダーパフォーマンス）」","0"
"アウトライト取引","https://www.nomura.co.jp/terms/japan/a/A02848.html","取引（売買）","あうとらいととりひき","買い戻しや売り戻しの条件を付けずに、買い付けまたは売り付けのみを単独で行う取引のことをいう。","0"
"アウトルック","https://www.nomura.co.jp/terms/japan/a/outlook.html","債券","あうとるっく","信用格付けのうち、今後1、2年のうちに格付けが遷移する方向性を示すもの。「安定的」、「強含み」、「弱含み」または「流動的」などと表現される。","0"
"アウト・オブ・ザ・マネー","https://www.nomura.co.jp/terms/japan/a/outofthemoney.html","取引（売買）","あうと・おぶ・ざ・まねー","オプション取引において、オプション取引の権利所有者が権利行使した場合に、損失が出る状態をいう。原資産価格がコール(購入)オプションの行使価格よりも低い状態またはプット(売却)オプションの行使価格よりも高い状態。対義語はイン・ザ・マネー。","0"
"青空銘柄","https://www.nomura.co.jp/terms/japan/a/A01894.html","取引（売買）","あおぞらめいがら","店頭有価証券(=未公開株)のことで、日本証券業協会規則で、証券会社は顧客からの注文受注のみで、投資勧誘が出来ない銘柄をいう。","0"
"青天井","https://www.nomura.co.jp/terms/japan/a/aotenjo.html","相場・格言・由来","あおてんじょう","マーケットで使われる用語で、相場の上げ基調が続き、どこまでも上がりそうな状態をさす。","0"
"アカウンタビリティ","https://www.nomura.co.jp/terms/japan/a/A01934.html","制度・法律","あかうんたびりてぃ","英語表記はAccountability、日本語訳は「説明責任」。個人や組織（企業・行政など）が自ら取った行動（もしくは行動しなかったこと）の結果に対する責任、および直接影響を受ける人のみならず間接的に影響を受けるステークホルダー（利害関係者）に対してもきちんと説明する責任のこと。","0"
"赤三兵","https://www.nomura.co.jp/terms/japan/a/akasanpei.html","分析・指標","あかさんぺい","酒田五法（＝酒田ケイ線）（三山、三川、三空、三兵、三法）の中の三兵のひとつで、三兵とは、陰線が3本または陽線が3本、並行して同一方向に向かって現れることをいう。三兵には、赤三兵と黒三兵があり、赤三兵は、陽線が3本、黒三兵は陰線が3本、連続で同一方向に向かっている状態を指す。赤三兵は高寄りしないが、終値がいつもよりも切り上げている形が特徴。強気の相場で現れることも多いため、買いシグナルの可能性を示す一方、3本目の陰線の形によっては、天井が近付いているサインの「赤三兵先詰まり」として現れることもある。赤三兵の「赤」は、かつてチャート（ローソク足）の陽線を赤で示していたことに由来すると言われる。","0"
"赤字国債","https://www.nomura.co.jp/terms/japan/a/akaji-kokusai.html","債券","あかじこくさい","国が発行する債券を国債といい、普通国債と財政投融資特別国債(財投債)に区分される。赤字国債(特例国債)は普通国債の一つで、普通国債には他に建設国債がある。赤字国債は、特例国債法に基づいて歳入不足を補うために発行される国債のこと。1965年度に戦後初めて発行され、1975年にも石油危機に端を発した景気低迷への対処で発行、94年度以降は毎年発行され続けている。","0"
