"symbol","name","market","asset_type","country"
"1301.T","極洋","TSE","equity","japan"
"1305.T","大和アセットマネジメント株式会社 iFreeETF TOPIX(年1回決算型)","TSE","equity","japan"
"1306.T","野村アセットマネジメント株式会社 NEXT FUNDS TOPIX連動型上場投信","TSE","equity","japan"
"1308.T","日興アセットマネジメント株式会社  上場インデックスファンドTOPIX","TSE","equity","japan"
"1309.T","野村アセットマネジメント株式会社 NEXT FUNDS ChinaAMC・中国株式・上証50連動型上場投信","TSE","equity","japan"
"130A.T","Veritas In Silico","TSE","equity","japan"
"1311.T","野村アセットマネジメント株式会社 NEXT FUNDS TOPIX Core 30連動型上場投信","TSE","equity","japan"
"1319.T","野村アセットマネジメント株式会社 NEXT FUNDS 日経300株価指数連動型上場投信","TSE","equity","japan"
"131A.T","CCNグループ","TSE","equity","japan"
"1320.T","大和アセットマネジメント株式会社 iFreeETF 日経225(年1回決算型)","TSE","equity","japan"
"1321.T","野村アセットマネジメント株式会社 NEXT FUNDS 日経225連動型上場投信","TSE","equity","japan"
"1322.T","日興アセットマネジメント株式会社 上場インデックスファンド中国A株(パンダ)E Fund CSI300","TSE","equity","japan"
"1324.T","野村アセットマネジメント株式会社 NEXT FUNDS ロシア株式指数連動型上場投信","TSE","equity","japan"
"1325.T","野村アセットマネジメント株式会社 NEXT FUNDS ブラジル株式指数・ボベスパ連動型上場投信","TSE","equity","japan"
"1326.T","ワールド・ゴールド・トラスト・サービシズ・エルエルシー SPDRゴールド・シェア","TSE","equity","japan"
"1328.T","野村アセットマネジメント株式会社 NEXT FUNDS 金価格連動型上場投信","TSE","equity","japan"
"1329.T","ブラックロック・ジャパン株式会社  iシェアーズ・コア 日経225 ETF","TSE","equity","japan"
"132A.T","アイエヌホールディングス","TSE","equity","japan"
"1330.T","日興アセットマネジメント株式会社  上場インデックスファンド225","TSE","equity","japan"
"1332.T","ニッスイ","TSE","equity","japan"
"1333.T","マルハニチロ","TSE","equity","japan"
"133A.T","Global X Japan株式会社 グローバルX 超短期米国債 ETF","TSE","equity","japan"
"1343.T","野村アセットマネジメント株式会社 NEXT FUNDS 東証REIT 指数連動型上場投信","TSE","equity","japan"
"1345.T","日興アセットマネジメント株式会社 上場インデックスファンドJリート(東証REIT指数)隔月分配型","TSE","equity","japan"
"1346.T","三菱UFJアセットマネジメント株式会社 MAXIS 日経225上場投信","TSE","equity","japan"
"1348.T","三菱UFJアセットマネジメント株式会社 MAXIS トピックス上場投信","TSE","equity","japan"
"1349.T","ステート・ストリート・グローバル・アドバイザーズ・シンガポール・リミテッド ABF汎アジア債券インデックス・ファンド","TSE","equity","japan"
"134A.T","アプライズ","TSE","equity","japan"
"1356.T","シンプレクス・アセット・マネジメント株式会社 TOPIXベア2倍上場投信","TSE","equity","japan"
"1357.T","野村アセットマネジメント株式会社 NEXT FUNDS 日経平均ダブルインバース・インデックス連動型上場投信","TSE","equity","japan"
"1358.T","日興アセットマネジメント株式会社 上場インデックスファンド日経レバレッジ指数","TSE","equity","japan"
